DT_COMPTC,CNPJ_FUNDO_CLASSE,TP_FUNDO_CLASSE,ID_SUBCLASSE,VL_TOTAL,VL_QUOTA,VL_PATRIM_LIQ,CAPTC_DIA,RESG_DIA
2025-07-14,02.226.122/0001-26,CLASSE FIF/FAPI,,0.0,3.871346,4373.9,0.0,0.0
2026-04-27,04.785.314/0001-06,CLASSE FIF/FAPI,,10679812.54,7.50501,10711816.18,0.0,0.0
2025-07-22,02.661.339/0001-64,CLASSE FIF/FAPI,,11476523.15,1522.204949,11431038.75,0.0,0.0
2025-07-17,02.297.533/0001-02,CLASSE FIF/FAPI,,19641139.29,11.0031581,19620016.24,65.0,6449.9
2025-10-13,02.661.267/0001-55,CLASSE FIF/FAPI,,8035261.74,1653.271499,8050952.92,0.0,0.0
2026-04-29,03.564.825/0001-27,CLASSE FIF/FAPI,,67622828.38,11.7933765,67490639.16,0.0,17907.38
2025-07-23,02.661.339/0001-64,CLASSE FIF/FAPI,,11391343.54,1524.305116,11446810.01,0.0,0.0
2025-07-22,02.177.815/0001-76,CLASSE FIF/FAPI,,2218704.46,7.911441,2217527.33,0.0,0.0
2025-08-01,04.785.314/0001-06,CLASSE FIF/FAPI,,10095691.11,6.84163,10125363.22,0.0,0.0
2026-05-15,02.226.122/0001-26,CLASSE FIF/FAPI,,0.0,3.040142,3278.75,0.0,0.0
2025-08-15,03.564.825/0001-27,CLASSE FIF/FAPI,,70524883.49,10.5485929,70257344.09,0.0,41761.69
2025-09-22,02.297.533/0001-02,CLASSE FIF/FAPI,,20091431.23,11.2526486,20060601.44,305.0,0.0
2026-05-14,02.010.153/0001-45,CLASSE FIF/FAPI,,13858926.47,18.958139341,13758372.78,0.0,49999.99
2025-12-04,03.564.825/0001-27,CLASSE FIF/FAPI,,67891068.89,11.2661058,68011124.87,0.0,79444.28
2025-08-22,02.177.812/0001-32,CLASSE FIF/FAPI,,80611268.95,8.941198,80548459.48,1640.0,52645.97
2025-10-09,52.243.259/0001-67,CLASSES - FIF,,12753091.45,1.11760093,12752266.51,0.0,0.0
2025-11-13,18.820.186/0001-90,CLASSES - FIF,,120035282.23,333.2780159,125418099.09,4485103.41,0.0
2026-01-14,19.413.568/0001-62,CLASSES - FIF,,45095453.78,376.063606,45057232.87,0.0,0.0
2026-05-04,53.778.664/0001-42,CLASSES - FIF,,128485248.28,1.514336,127905446.07,0.0,0.0
2025-07-09,52.043.433/0001-28,CLASSES - FIF,,302126034.82,1.282053,301956546.44,0.0,733438.16
